Dia,P5,P50,P95
174,-0.08504670225238925,0.11137476674675995,0.3521979072540379
175,-0.08558754355676167,0.11193374754853425,0.3547599450246297
176,-0.08470990086501295,0.11192723841166041,0.3565965687646197
177,-0.0853702741881861,0.11304046280646762,0.3584850897708048
178,-0.08528761251402227,0.11360400862524045,0.3593729928124262
179,-0.08505776247816961,0.11394843187505632,0.36158715719767015
180,-0.08437525594192385,0.11486348968589544,0.3636720992050984
181,-0.08472578860491599,0.11607666903165748,0.3659449717971997
182,-0.08615992827124572,0.11726562856022105,0.36669400784504297
183,-0.08528039243700314,0.11777857806684344,0.36963796071552113
184,-0.0853007592413402,0.11870903882642903,0.3679494524273549
185,-0.08464641887538683,0.11910968940473887,0.3705805321518062
186,-0.08552609615732794,0.11952214499274627,0.3701326689840813
187,-0.08486800221779006,0.11995715753774183,0.3742873756284905
188,-0.08510256585318836,0.12036377484456584,0.374543829767081
189,-0.08456787742366968,0.1220486037844205,0.37623192544591494
190,-0.08496427663510438,0.12332366368326197,0.3795251455815603
191,-0.08404669449243661,0.12359374104823984,0.3800937272895923
192,-0.08434525924259519,0.12408182964463543,0.3819177436678842
193,-0.08395467926354012,0.1253653630925864,0.38328003186821974
194,-0.08501186259737022,0.12606423702457492,0.38434804275472745
195,-0.08499058512838054,0.12645336460432266,0.385676314274872
196,-0.08623087765310591,0.12655695848508508,0.38718486456053125
197,-0.0849163558159495,0.12815805760852972,0.39036536950882317
198,-0.08538273306290918,0.12839399377573457,0.39269206752282726
199,-0.08425014168324076,0.129305302105033,0.3939436441004838
200,-0.08550709577483803,0.12914086897305255,0.39664614796942965
201,-0.08526718127936682,0.13080394408198215,0.39783460798689746
202,-0.08569108077598207,0.131417952596794,0.39851318021072063
203,-0.08342277958435775,0.13217714095178934,0.40157780239598384
204,-0.0828878228104777,0.1333156190631184,0.40317028575720304
205,-0.08411057039256653,0.13355694987345212,0.4062783474250712
206,-0.08352956876194767,0.1332719207378822,0.4075366103256329
207,-0.08421077806760158,0.13468178679500387,0.40981398458106183
208,-0.08374339548000705,0.1346595669343279,0.4120754985217197
209,-0.08468752590759074,0.1349123089846621,0.41376043427608106
210,-0.08416931629804823,0.13621700105978451,0.4125621087128128
211,-0.08506910355286516,0.13689133628665517,0.41395585536167756
212,-0.08469264988516338,0.1373274111599183,0.413880449728387
213,-0.08301168984480387,0.13829620909121432,0.4179464939357653
214,-0.08313459550703271,0.13891503509507208,0.4203628306365368
215,-0.08299454142324493,0.1400487234221739,0.4196747806798355
216,-0.08214553593986583,0.13998890785677431,0.42103451954850807
217,-0.08226961952578946,0.141143054946827,0.4232627817539752
218,-0.0824890633760248,0.1423887192514911,0.42483229172018394
219,-0.08107545905847181,0.14227877760532526,0.4274528938412803
220,-0.08233374999219462,0.14433743434122803,0.4280248589908307
221,-0.08163120546948043,0.14480133295806574,0.42965582754587833
222,-0.08046958577617552,0.14573412054912094,0.4296620393799378
223,-0.08092353379717925,0.14549123366717287,0.4324631208636657
224,-0.08039296757404804,0.1466158053100718,0.4321457615597974
225,-0.07961277622192736,0.14737133458983864,0.43513013464834027
226,-0.08062015944094908,0.14772914939238957,0.43658356368730095
227,-0.07989588702249885,0.1488256281011784,0.4385622540478425
228,-0.0805497704163955,0.1486239656026067,0.43901927475931074
229,-0.07998818435237469,0.14959387299026417,0.4410073490883645
230,-0.0803024412373893,0.1493311120525489,0.4398161834988742
231,-0.07926574926253707,0.1495417282044984,0.44162092358900124
232,-0.07922972702660472,0.15086889427879469,0.44431041086227313
233,-0.07863116739186861,0.1522049195833084,0.4474729132432027
234,-0.07799964436294009,0.15298606838738404,0.4493523253210419
235,-0.07784695547283298,0.15390256423986737,0.44995806351835443
236,-0.0782748465579937,0.1554898585271849,0.45119104243022007
237,-0.0776591525219763,0.15540863214678102,0.4522792151174172
238,-0.07912019223512927,0.15597691994850094,0.45448476141936583
239,-0.07858038530748901,0.1571664413410534,0.4561150740157913
240,-0.07896682074758292,0.15763412623420758,0.45715051195806344
241,-0.07894411404855345,0.15866048288489865,0.4591315307954315
242,-0.07894799847852203,0.15902994205529752,0.4614634519976103
243,-0.07928973637467912,0.15974486359146667,0.46055554468513765
244,-0.07936936202650027,0.1600111714584611,0.4655649987996174
245,-0.07876501629271133,0.16085640618086972,0.4670335213186446
246,-0.07864180699111958,0.16164982220006685,0.466222264991211
247,-0.07838209042421507,0.16168339672586507,0.46695033060098184
248,-0.07832700089748008,0.1638365377043507,0.46856772211546693
249,-0.07763085664443624,0.16367322295339126,0.4698119097248453
